Date,Open,High,Low,Close,Adj Close,OpenY,HighY,LowY,OpenYY,HighYY,LowYY
8/1/2023,"1,965.10","1,966.24","1,941.20","1,944.08","1,944.08","1,959.49","1,972.44","1,951.00","1,944.27","1,963.71","1,944.27"
7/31/2023,"1,959.49","1,972.44","1,951.00","1,964.19","1,964.19","1,944.27","1,963.71","1,944.27","1,972.08","1,982.24","1,942.61"
7/28/2023,"1,944.27","1,963.71","1,944.27","1,959.20","1,959.20","1,972.08","1,982.24","1,942.61","1,964.99","1,978.31","1,961.99"
7/27/2023,"1,972.08","1,982.24","1,942.61","1,944.99","1,944.99","1,964.99","1,978.31","1,961.99","1,955.20","1,966.03","1,953.21"
7/26/2023,"1,964.99","1,978.31","1,961.99","1,972.10","1,972.10","1,955.20","1,966.03","1,953.21","1,962.09","1,967.97","1,953.42"
7/25/2023,"1,955.20","1,966.03","1,953.21","1,964.58","1,964.58","1,962.09","1,967.97","1,953.42","1,969.99","1,973.89","1,956.82"
7/24/2023,"1,962.09","1,967.97","1,953.42","1,954.51","1,954.51","1,969.99","1,973.89","1,956.82","1,976.80","1,987.59","1,965.40"
7/21/2023,"1,969.99","1,973.89","1,956.82","1,960.23","1,960.23","1,976.80","1,987.59","1,965.40","1,978.97","1,981.05","1,969.75"
7/20/2023,"1,976.80","1,987.59","1,965.40","1,969.62","1,969.62","1,978.97","1,981.05","1,969.75","1,954.59","1,984.39","1,954.44"
7/19/2023,"1,978.97","1,981.05","1,969.75","1,976.74","1,976.74","1,954.59","1,984.39","1,954.44","1,954.90","1,959.91","1,945.82"
7/18/2023,"1,954.59","1,984.39","1,954.44","1,978.71","1,978.71","1,954.90","1,959.91","1,945.82","1,961.58","1,963.81","1,951.00"
7/17/2023,"1,954.90","1,959.91","1,945.82","1,954.74","1,954.74","1,961.58","1,963.81","1,951.00","1,957.44","1,963.69","1,952.71"
7/14/2023,"1,961.58","1,963.81","1,951.00","1,954.93","1,954.93","1,957.44","1,963.69","1,952.71","1,932.59","1,959.82","1,932.18"
7/13/2023,"1,957.44","1,963.69","1,952.71","1,960.19","1,960.19","1,932.59","1,959.82","1,932.18","1,925.40","1,938.69","1,924.40"
7/12/2023,"1,932.59","1,959.82","1,932.18","1,957.09","1,957.09","1,925.40","1,938.69","1,924.40","1,925.19","1,928.31","1,912.68"
7/11/2023,"1,925.40","1,938.69","1,924.40","1,931.99","1,931.99","1,925.19","1,928.31","1,912.68","1,911.07","1,934.92","1,909.56"
7/10/2023,"1,925.19","1,928.31","1,912.68","1,924.99","1,924.99","1,911.07","1,934.92","1,909.56","1,916.05","1,927.69","1,902.68"
7/7/2023,"1,911.07","1,934.92","1,909.56","1,924.28","1,924.28","1,916.05","1,927.69","1,902.68","1,925.90","1,935.17","1,914.48"
7/6/2023,"1,916.05","1,927.69","1,902.68","1,910.80","1,910.80","1,925.90","1,935.17","1,914.48","1,921.78","1,930.84","1,919.90"
7/5/2023,"1,925.90","1,935.17","1,914.48","1,917.32","1,917.32","1,921.78","1,930.84","1,919.90","1,919.40","1,931.09","1,910.10"
